ST_CODE,PC_NAME,ST_NAME,CAND_NAME,PARTYABBRE,YEAR,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
S13,Thane,MAHARASHTRA,Prakash Paranjpe,SHS,1999,10,GEN,7,M,391446
S13,Dahanu,MAHARASHTRA,Adv Chintaman Wanaga,BJP,1999,11,ST,7,M,240866
S13,Nashik,MAHARASHTRA,Dhikale Uttamrao Nathuji,SHS,1999,12,GEN,7,M,303084
S13,Malegaon,MAHARASHTRA,Mahale Haribahu Shankar,JD(S),1999,13,ST,7,M,191643
S13,Dhule,MAHARASHTRA,Ramdas Rupla Gavit,BJP,1999,14,ST,7,M,211904
S13,Nandurbar,MAHARASHTRA,Gavit Manikrao Hodlya,INC,1999,15,ST,7,M,318338
S13,Erandol,MAHARASHTRA,Annasaheb M K Patil,BJP,1999,16,GEN,7,M,297867
S13,Jalgaon,MAHARASHTRA,Y G Mahajan Sir,BJP,1999,17,GEN,7,M,334020
S13,Buldhana,MAHARASHTRA,Adsul Anandrao Vithoba,SHS,1999,18,SC,7,M,294922
S13,Akola,MAHARASHTRA,Ambedkar Prakash Yashwant,BBM,1999,19,GEN,7,M,272243
S13,Washim,MAHARASHTRA,Bhawana Pundlikrao Gawali,SHS,1999,20,GEN,7,F,244820
S13,Amravati,MAHARASHTRA,Gudhe Anant Mahadeoappa,SHS,1999,21,GEN,7,M,319916
S13,Ramtek,MAHARASHTRA,Subodh Mohite,SHS,1999,22,GEN,7,M,242454
S13,Nagpur,MAHARASHTRA,Vilas Muttemwar,INC,1999,23,GEN,7,M,424450
S13,Bhandara,MAHARASHTRA,Chunnilalbhau Thakur,BJP,1999,24,GEN,7,M,291355
S13,Chimur,MAHARASHTRA,Diwathe Namdeo Harbaji,BJP,1999,25,GEN,7,M,300601
S13,Chandrapur,MAHARASHTRA,Puglia Nareshkumar Chunnalal,INC,1999,26,GEN,7,M,328522
S13,Wardha,MAHARASHTRA,Prabha Rao,INC,1999,27,GEN,7,F,249564
S13,Yavatmal,MAHARASHTRA,Uttamrao Deorao Patil,INC,1999,28,GEN,7,M,258535
S13,Hingoli,MAHARASHTRA,Mane Shivaji Gyanbarao,SHS,1999,29,GEN,7,M,297284
S13,Nanded,MAHARASHTRA,Khatgaonkar Bhaskarrao Bapurao,INC,1999,30,GEN,7,M,327293
S13,Parbhani,MAHARASHTRA,Jadhav Suresh Ramrao,SHS,1999,31,GEN,7,M,254019
S13,Jalna,MAHARASHTRA,Danve Raosaheb Dadarao Patil,BJP,1999,32,GEN,7,M,332620
S13,Aurangabad,MAHARASHTRA,Chandrakant Khaire,SHS,1999,33,GEN,7,M,383144
S13,Beed,MAHARASHTRA,Jaysingrao Gaikwad Patil,BJP,1999,34,GEN,7,M,332946
S13,Latur,MAHARASHTRA,Patil Shivraj Vishwanath,INC,1999,35,GEN,7,M,314213
S13,Osmanabad,MAHARASHTRA,Kamble Shivaji Vithalrao,SHS,1999,36,SC,7,M,252135
S13,Sholapur,MAHARASHTRA,Shinde Sushilkumar Sambhajirao,INC,1999,37,GEN,7,M,286578
S13,Pandharpur,MAHARASHTRA,Athawale Ramdas Bandu,IND,1999,38,SC,7,M,413115
S13,Ahmednagar,MAHARASHTRA,Dilipkumar Mansukhlal Gandhi,BJP,1999,39,GEN,7,M,278508
S13,Kopargaon,MAHARASHTRA,E V Alias Balasaheb Vikhe Patil,SHS,1999,40,GEN,7,M,253498
S13,Khed,MAHARASHTRA,Ashok Namdeorao Mohol,NCP,1999,41,GEN,7,M,284476
S13,Pune,MAHARASHTRA,Pradeep Rawat,BJP,1999,42,GEN,7,M,304955
S13,Baramati,MAHARASHTRA,Pawar Sharadchandra Govindrao,NCP,1999,43,GEN,7,M,510928
S13,Satara,MAHARASHTRA,Laxmanrao Pandurang Jadhav Patil,NCP,1999,44,GEN,7,M,313325
S13,Karad,MAHARASHTRA,Shriniwas Dadasaheb Patil (Marulkar),NCP,1999,45,GEN,7,M,350504
S13,Sangli,MAHARASHTRA,Prakash (Bapu) Vasantrao Patil,INC,1999,46,GEN,7,M,381162
