BAYANA (SC),Rajasthan, GANGARAM,BJP,1996
BHARATPUR,Rajasthan, MAHARANI DIVYA SINGH,BJP,1996
BHILWARA,Rajasthan, SUBHASH CHANDRA BAHERIYA,BJP,1996
BIKANER,Rajasthan, MAHENDER SINGH BHATI,BJP,1996
CHITTORGARH,Rajasthan, JASWANT SINGH,BJP,1996
CHURU,Rajasthan, NARENDRA BUDANIYA,INC,1996
DAUSA,Rajasthan, RAJESH PILOT,INC,1996
JAIPUR,Rajasthan, GIRDHARI LAL BHARGAVA,BJP,1996
JALORE (SC),Rajasthan, PARSA RAM MEGHWAL,INC,1996
JHALAWAR,Rajasthan, VASUNDHARA RAJE,BJP,1996
JHUNJHUNU,Rajasthan, SHEES RAM OLA,AIIC(T),1996
JODHPUR,Rajasthan, ASHOK GAHLOT,INC,1996
KOTA,Rajasthan, DAU DAYAL JOSHI,BJP,1996
PALI,Rajasthan, GUMANMAL LODHA,BJP,1996
SALUMBER (ST),Rajasthan, BHERU LAL MEENA,INC,1996
SIKAR,Rajasthan, HARI SINGH,INC,1996
TONK (SC),Rajasthan, SHYAM LAL BANSHIWAL,BJP,1996
UDAIPUR,Rajasthan, GIRIJA VYAS,INC,1996
GANGANAGAR (SC) ,Rajasthan,NIHAL CHAND ,BJP,1996
SAWAI MADHOPUR (ST) ,Rajasthan,USHA DEVI ,INC,1996
NAGAUR ,Rajasthan,NATHURAM MIRDHA ,INC,1996
ARAKKONAM,Tamil Nadu, VELU.A.M,TMC(M),1996
CHENGALPATTU,Tamil Nadu, PARASURAMAN.K,DMK,1996
CHIDAMBARAM (SC),Tamil Nadu, GANESAN V,DMK,1996
COIMBATORE,Tamil Nadu, RAMANATHAN M.,DMK,1996
CUDDALORE,Tamil Nadu, VENKATESAN P.R.S,TMC(M),1996
DHARMAPURI,Tamil Nadu, THEERTHARAMAN.P,TMC(M),1996
DINDIGUL,Tamil Nadu, CHITTHAN.N.S.V.,TMC(M),1996
GOBICHETTIPALAYAM,Tamil Nadu, SHANMUGASUNDARAM V.P,DMK,1996
KARUR,Tamil Nadu, NATRAYAN.K,TMC(M),1996
KRISHNAGIRI,Tamil Nadu, NARASIMHAN C,TMC(M),1996
MADRAS CENTRAL,Tamil Nadu, MURASOLI MARAN,DMK,1996
MADRAS SOUTH,Tamil Nadu, BAALU T.R,DMK,1996
MADURAI,Tamil Nadu, RAM BABU A.G.S,TMC(M),1996
MAYILADUTURAI,Tamil Nadu, RAJENDIRAN P.V,TMC(M),1996
NAGAPATTINAM (SC),Tamil Nadu, SELVARASU M,CPI,1996
NILGIRIS,Tamil Nadu, BALASUBRAMANIYAN S.R.,TMC(M),1996
PALANI,Tamil Nadu, KAARVENDHAN .S.K,TMC(M),1996
PERAMBALUR (SC),Tamil Nadu, RAJA A,DMK,1996
PERIYAKULAM,Tamil Nadu, GNANAGURUSAMY R,DMK,1996
POLLACHI (SC),Tamil Nadu, KANDASAMY .V,TMC(M),1996
PUDUKKOTTAI,Tamil Nadu, SIVA,N.,1996
RAMANATHAPURAM,Tamil Nadu, UDAYAPPAN, S.P.,1996
RASIPURAM (SC),Tamil Nadu, KANDASAMY K,TMC(M),1996
SALEM,Tamil Nadu, DEVADASS.R,TMC(M),1996
SIVAGANGA,Tamil Nadu, CHIDAMBARAM P.,TMC(M),1996
SIVAKASI,Tamil Nadu, ALAGIRISAMY, V.,1996
SRIPERUMBUDUR (SC),Tamil Nadu, NAGARATNAM.T,DMK,1996
TENKASI (SC),Tamil Nadu, ARUNACHALAM, M.,1996
THANJAVUR,Tamil Nadu, PALANIMANICKAM S.S,DMK,1996
TIRUCHENDUR,Tamil Nadu, DHANUSKODI ATHITHAN R.,TMC(M),1996
TIRUCHENGODE,Tamil Nadu, K.P.RAMALINGAM,DMK,1996
TIRUCHIRAPPALLI,Tamil Nadu, ADAIKKALRAJ.L,TMC(M),1996
TIRUNELVELI,Tamil Nadu, SIVAPRAKASAM D.S.A.,DMK,1996
TIRUPPATTUR,Tamil Nadu, VENUGOPAL.D,DMK,1996
VANDAVASI,Tamil Nadu, BALARAMAN.L,TMC(M),1996
VELLORE,Tamil Nadu, SHANMUGAM.P,DMK,1996
MADRAS NORTH ,Tamil Nadu,SOMU N.V.N ,DMK,1996
TINDIVANAM ,Tamil Nadu,VENKATRAMAN G ,DMK,1996
NAGERCOIL ,Tamil Nadu,DENNIS N. ,TMC(M),1996
AGRA,Uttar Pradesh, BHAGWAN SHANKAR RAWAT,BJP,1996
AKBARPUR (SC),Uttar Pradesh, GHANSHYAM CHANDRA KHARWAR,BSP,1996
