ST_CODE,ST_NAME,PC_NO,PC_NAME,PC_TYPE,MONTH,YEAR,CAND_NAME,CAND_SEX,PARTYABBRE,TOTVOTPOLL
S12,MADHYA PRADESH,27,CHHINDWARA,GEN,3,1998,KAMALNATH,M,INC,406249
S12,MADHYA PRADESH,28,BETUL,GEN,3,1998,VIJAY KUMAR KHANDELWAL (MUNNI BHAIYA),M,BJP,284091
S12,MADHYA PRADESH,29,HOSHANGABAD,GEN,3,1998,SARTAJ SINGH,M,BJP,387395
S12,MADHYA PRADESH,30,BHOPAL,GEN,3,1998,SUSHIL CHANDRA VERMA,M,BJP,494481
S12,MADHYA PRADESH,31,VIDISHA,GEN,3,1998,SHIVRAJSINGH,M,BJP,374406
S12,MADHYA PRADESH,32,RAJGARH,GEN,3,1998,LAXMAN SINGH,M,INC,352289
S12,MADHYA PRADESH,33,SHAJAPUR,SC,3,1998,GEHLOT THAVARCHAND,M,BJP,371571
S12,MADHYA PRADESH,34,KHANDWA,GEN,3,1998,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),M,BJP,334340
S12,MADHYA PRADESH,35,KHARGONE,GEN,3,1998,RAMESHWAR PATIDAR,M,BJP,311394
S12,MADHYA PRADESH,36,DHAR,ST,3,1998,GAJENDRA SINGH RAJUKHEDI,M,INC,344858
S12,MADHYA PRADESH,37,INDORE,GEN,3,1998,SUMITRA MAHAJAN,F,BJP,440047
S12,MADHYA PRADESH,38,UJJAIN,SC,3,1998,DR. SATYANARAYAN JATIYA,M,BJP,348405
S12,MADHYA PRADESH,39,JHABUA,ST,3,1998,KANTILAL BHURIYA,M,INC,307735
S12,MADHYA PRADESH,40,MANDSAUR,GEN,3,1998,DR. LAXMINARAYAN PANDEY,M,BJP,412849
S13,MAHARASHTRA,1,RAJAPUR,GEN,3,1998,SURESH PRABHU,M,SHS,217766
S13,MAHARASHTRA,2,RATNAGIRI,GEN,3,1998,ANANT GANGARAM GEETE,M,SHS,238928
S13,MAHARASHTRA,3,KOLABA,GEN,3,1998,RAMSHETH THAKUR,M,PWPI,248353
S13,MAHARASHTRA,4,MUMBAI SOUTH,GEN,3,1998,DEORA MURLI,M,INC,178597
S13,MAHARASHTRA,5,MUMBAI SOUTH CENTRAL,GEN,3,1998,MOHAN VISHNU RAWALE,M,SHS,171376
S13,MAHARASHTRA,6,MUMBAI NORTH CENTRAL,GEN,3,1998,RAMDAS ATHAWALE,M,RPI,282373
S13,MAHARASHTRA,7,MUMBAI NORTH EAST,GEN,3,1998,GURUDAS KAMAT,M,INC,525911
S13,MAHARASHTRA,8,MUMBAI NORTH WEST,GEN,3,1998,MADHUKAR SIRPOTDAR,M,SHS,370229
S13,MAHARASHTRA,9,MUMBAI NORTH,GEN,3,1998,RAM NAIK,M,BJP,531417
S13,MAHARASHTRA,10,THANE,GEN,3,1998,PARANJPE PRAKASH VISHWANATH,M,SHS,553210
S13,MAHARASHTRA,11,DAHANU,ST,3,1998,NAM SHANKAR SAKHARAM,M,INC,245567
S13,MAHARASHTRA,12,NASHIK,GEN,3,1998,PATIL MADHAV BALWANT,M,INC,381300
S13,MAHARASHTRA,13,MALEGAON,ST,3,1998,KAHANDOLE ZAMARU MANGALU,M,INC,215846
S13,MAHARASHTRA,14,DHULE,ST,3,1998,D.S.AHIRE,M,INC,274034
S13,MAHARASHTRA,15,NANDURBAR,ST,3,1998,GAVIT MANIKRAO HODLYA,M,INC,304134
S13,MAHARASHTRA,16,ERANDOL,GEN,3,1998,ANNASAHEB M.K.PATIL,M,BJP,286178
S13,MAHARASHTRA,17,JALGAON,GEN,3,1998,DR.ULHAS  VASUDEO PATIL,M,INC,339980
S13,MAHARASHTRA,18,BULDHANA,SC,3,1998,WASNIK MUKUL BALKRUSHNA,M,INC,348094
S13,MAHARASHTRA,19,AKOLA,GEN,3,1998,AMBEDKAR PRAKASH YASHAWANT,M,RPI,366427
S13,MAHARASHTRA,20,WASHIM,GEN,3,1998,NAIK SUDHAKARRAO RAJUSING,M,INC,359742
S13,MAHARASHTRA,21,AMRAVATI,GEN,3,1998,RAMKRUSHNA SURYABHAN GAWAI,M,RPI,304746
S13,MAHARASHTRA,22,RAMTEK,GEN,3,1998,RANI CHITRALEKHA T. BHOSALE,F,INC,325885
S13,MAHARASHTRA,23,NAGPUR,GEN,3,1998,VILAS MUTTEMWAR,M,INC,486928
S13,MAHARASHTRA,24,BHANDARA,GEN,3,1998,PATEL PRAFUL  MANOHARBHAI,M,INC,324542
S13,MAHARASHTRA,25,CHIMUR,GEN,3,1998,PROF. JOGENDRA KAWADE,M,RPI,350003
S13,MAHARASHTRA,26,CHANDRAPUR,GEN,3,1998,PUGLIA NARESHKUMAR CHUNNALAL,M,INC,450007
S13,MAHARASHTRA,27,WARDHA,GEN,3,1998,DATTA MEGHE,M,INC,328905
S13,MAHARASHTRA,28,YAVATMAL,GEN,3,1998,UTTAMRAO DEORAO PATIL,M,INC,291415
