Constituency,State,MP,Party,Year,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
Narasaraopet,ANDHRA,Janardhanareddy Nedurumalli,INC,2000,17,GEN,7,M,432266
Nellore,ANDHRA,Rajeswaramma Vukkala,TDP,2000,19,SC,7,F,381166
Nizamabad,ANDHRA,Ganga Reddy Gaddam,TDP,2000,34,GEN,7,M,373260
Ongole,ANDHRA,Karanam Balarama Krishna Murthy,TDP,2000,18,GEN,7,M,392840
Parvathipuram,ANDHRA,Dadichiluka Veera Gouri Sankara Rao,TDP,2000,2,ST,7,M,304000
Peddapalli,ANDHRA,Dr.Smt.C. Suguna Kumari,TDP,2000,36,SC,7,F,406529
Rajahmundry,ANDHRA,Satyanarayana Rao S.B.P.B.K,BJP,2000,8,GEN,7,M,411956
Rajampet,ANDHRA,Gunipati Ramaiah,TDP,2000,22,GEN,7,M,322107
Secunderabad,ANDHRA,Bandaru Dattatraya,BJP,2000,31,GEN,7,M,506626
Siddipet,ANDHRA,M. Rajaiah,TDP,2000,32,SC,7,M,583346
Srikakulam,ANDHRA,Yerrannaidu Kinjarapu,TDP,2000,1,GEN,7,M,373851
Tenali,ANDHRA,Ummareddy Venkateswarlu,TDP,2000,14,GEN,7,M,339800
Tirupathi,ANDHRA,Dr.N.Venkataswamy,BJP,2000,20,SC,7,M,386478
Vijayawada,ANDHRA,Gadde Rama Mohan,TDP,2000,13,GEN,7,M,482968
Visakhapatnam,ANDHRA,M.V.V.S.Murthy,TDP,2000,4,GEN,7,M,442036
Warangal,ANDHRA,Bodakunti Venkateshwarlu,TDP,2000,39,GEN,7,M,385593
Araria,BIHAR,Sukdeo Paswan,RJD,2000,22,SC,7,M,308579
Arrah,BIHAR,Ram Prasad Singh,RJD,2000,36,GEN,7,M,264140
Aurangabad,BIHAR,Shyama Singh,INC,2000,40,GEN,7,F,317418
Bagaha,BIHAR,Mahendra Baitha,JD(U),2000,1,SC,7,M,261498
Balia,BIHAR,Ramjivan Singh,JD(U),2000,19,GEN,7,M,169443
Banka,BIHAR,Digvijay Singh,JD(U),2000,29,GEN,7,M,233453
Barh,BIHAR,Nitish Kumar,JD(U),2000,18,GEN,7,M,362016
Begusarai,BIHAR,Rajo Singh,INC,2000,33,GEN,7,M,318244
Bettiah,BIHAR,Dr Madan Prasad Jaiswal,BJP,2000,2,GEN,7,M,343027
Bhagalpur,BIHAR,Subodh Ray,CPM,2000,30,GEN,7,M,321159
Bikramganj,BIHAR,Kanti Singh,RJD,2000,39,GEN,7,F,346259
Buxar,BIHAR,Lal Muni Choubey,BJP,2000,37,GEN,7,M,235968
Chapra,BIHAR,Rajiv Pratap Rudi,BJP,2000,7,GEN,7,M,390477
Chatra,BIHAR,Nagmani,RJD,2000,44,GEN,7,M,219783
Darbhanga,BIHAR,Kirti Azad,BJP,2000,15,GEN,7,M,395549
Dhanbad,BIHAR,Rita Verma,BJP,2000,47,GEN,7,F,366065
Dumka,BIHAR,Babu Lal Marandi,BJP,2000,27,ST,7,M,201141
Gaya,BIHAR,Ramji Manjhi,BJP,2000,43,SC,7,M,319530
Giridih,BIHAR,Ravindra Kumar Pandey,BJP,2000,46,GEN,7,M,248454
Godda,BIHAR,Jagdambi Prasad Yadav,BJP,2000,28,GEN,7,M,221191
Gopalganj,BIHAR,Raghunath Jha,JD(U),2000,4,GEN,7,M,365107
Hajipur,BIHAR,Ram Vilas Paswan,JD(U),2000,8,SC,7,M,434609
Hazaribagh,BIHAR,Yashwant Sinha,BJP,2000,48,GEN,7,M,283956
Jahanabad,BIHAR,Arun Kumar,JD(U),2000,41,GEN,7,M,333332
Jamshedpur,BIHAR,Abha Mahato,BJP,2000,50,GEN,7,F,285232
Jhanjharpur,BIHAR,Devendra Prasad Yadav,JD(U),2000,14,GEN,7,M,375852
Katihar,BIHAR,Nikhil Kumar Choudhary,BJP,2000,25,GEN,7,M,280911
Khagaria,BIHAR,Renu Kumari,JD(U),2000,31,GEN,7,F,293412
Khunti,BIHAR,Kariya Munda,BJP,2000,52,ST,7,M,187484
Kishanganj,BIHAR,Syed Shahnawaz Hussain,BJP,2000,23,GEN,7,M,258035
Kodarma,BIHAR,Tilakdhari Pd Singh,INC,2000,45,GEN,7,M,273808
Lohardaga,BIHAR,Dukha Bhagat,BJP,2000,53,ST,7,M,163658
Madhepura,BIHAR,Sharad Yadav,JD(U),2000,21,GEN,7,M,328761
Madhubani,BIHAR,Hukumdeo Narayan Yadav,BJP,2000,13,GEN,7,M,328616
Maharajganj,BIHAR,Prabhunath Singh,JD(U),2000,6,GEN,7,M,398475
Monghyr,BIHAR,Brahma Nand Mandal,JD(U),2000,32,GEN,7,M,346615
Motihari,BIHAR,Radha Mohan Singh,BJP,2000,3,GEN,7,M,338696
Muzaffarpur,BIHAR,Captain Jai Na. Pd. Nishad,JD(U),2000,10,GEN,7,M,363820
Nalanda,BIHAR,George Fernandes,JD(U),2000,34,GEN,7,M,464458
Nawada,BIHAR,Sanjay Paswan,BJP,2000,42,SC,7,M,453943
Palamau,BIHAR,Braj Mohan Ram,BJP,2000,54,SC,7,M,271657
Patna,BIHAR,C P Thakur,BJP,2000,35,GEN,7,M,379370
Purnea,BIHAR,Rajesh Ranjan,IND,2000,24,GEN,7,M,438193
Rajmahal,BIHAR,Thomas Hansda,INC,2000,26,ST,7,M,250298
Ranchi,BIHAR,Ram Tahal Choudhary,BJP,2000,49,GEN,7,M,379261
Rosera,BIHAR,Ram Chandra Paswan,JD(U),2000,16,SC,7,M,420564
Saharsa,BIHAR,Dinesh Chandra Yadav,JD(U),2000,20,GEN,7,M,392926
Samastipur,BIHAR,Manjay Lal,JD(U),2000,17,GEN,7,M,368776
Sasaram,BIHAR,Muni Lall,BJP,2000,38,SC,7,M,257223
Sheohar,BIHAR,Md Anwarul Haque,RJD,2000,12,GEN,7,M,347279
Singhbhum,BIHAR,Laxman Gilua,BJP,2000,51,ST,7,M,231237
Sitamarhi,BIHAR,Nawal Kishore Rai,JD(U),2000,11,GEN,7,M,410557
Siwan,BIHAR,M  Sahabuddin,RJD,2000,5,GEN,7,M,385069
Vaishali,BIHAR,Raghuvansh Prasad Singh,RJD,2000,9,GEN,7,M,308458
Chandni Chowk,DELHI,Vijay Goel,BJP,2000,5,GEN,7,M,74001
Delhi Sadar,DELHI,Madan Lal Khurana,BJP,2000,6,GEN,7,M,143186
East Delhi,DELHI,Lal Bihari Tiwari,BJP,2000,4,GEN,7,M,521434
Karol Bagh,DELHI,Anita Arya,BJP,2000,7,SC,7,F,128956
New Delhi,DELHI,Jag Mohan,BJP,2000,1,GEN,7,M,124626
Outer Delhi,DELHI,Sahib Singh Verma,BJP,2000,3,GEN,7,M,709692
South Delhi,DELHI,Vijay Kumar Malhotra,BJP,2000,2,GEN,7,M,261230
Ahmedabad,GUJARAT,Harin Pathak,BJP,2000,10,GEN,7,M,280696
Amreli,GUJARAT,Dileep Sanghani,BJP,2000,7,GEN,7,M,217670
Anand,GUJARAT,Patel Dipakbhai Chimanbhai   (Sathi),BJP,2000,20,GEN,7,M,273683
Banaskantha,GUJARAT,Chaudhary Haribhai Parthibhai,BJP,2000,14,GEN,7,M,308313
Baroda,GUJARAT,Jayaben Thakkar,BJP,2000,22,GEN,7,F,322758
Bhavnagar,GUJARAT,Rana Rajendrasinh Ghanshyamsinh (Rajubhai Rana),BJP,2000,8,GEN,7,M,265446
Broach,GUJARAT,Mansukhbhai Vasava,BJP,2000,23,GEN,7,M,290195
Bulsar,GUJARAT,Manibhai Ramjibhai Chaudhari,BJP,2000,26,ST,7,M,300195
Chhota Udaipur,GUJARAT,Ramsinh Rathawa,BJP,2000,21,ST,7,M,248970
Dhandhuka,GUJARAT,Varma Ratilal Kalidas,BJP,2000,9,SC,7,M,229754
Dohad,GUJARAT,Katara Babubhai Khimabhai,BJP,2000,17,ST,7,M,232288
Gandhinagar,GUJARAT,Lal Krishna Advani (L K Advani),BJP,2000,11,GEN,7,M,453229
Godhra,GUJARAT,Solanki Bhupendrasinh Prabhatsinh,BJP,2000,18,GEN,7,M,280684
Jamnagar,GUJARAT,Koradiya Chandreshbhai Valjibhai (Chandresh Patel),BJP,2000,3,GEN,7,M,190726
Junagadh,GUJARAT,Chikhaliya Bhavnaben Devrajbhai,BJP,2000,6,GEN,7,F,266809
Kaira,GUJARAT,Dinsha Patel,INC,2000,19,GEN,7,M,258024
Kapadvanj,GUJARAT,Vaghela Shankarsinh Laxmansinh,INC,2000,16,GEN,7,M,413193
Kutch,GUJARAT,Gadhvi Pushpadan Sambhudan,BJP,2000,1,GEN,7,M,191533
Mandvi,GUJARAT,Patel Mansinhbhai Kalyanji,BJP,2000,25,ST,7,M,320172
Mehsana,GUJARAT,Patel Atmaram Maganbhai,INC,2000,12,GEN,7,M,340445
Patan,GUJARAT,Rashtrapal Pravinchandra Somabhai,INC,2000,13,SC,7,M,246798
Porbandar,GUJARAT,Javiya Gordhanbhai Jadavbhai,BJP,2000,5,GEN,7,M,210627
Rajkot,GUJARAT,Dr Kathiriya Vallabhbhai Ramjibhai,BJP,2000,4,GEN,7,M,312941
Sabarkantha,GUJARAT,Nisha Amarsinh Chaudhary,INC,2000,15,GEN,7,F,334565
Surat,GUJARAT,Kashiram Rana,BJP,2000,24,GEN,7,M,423773
Surendranagar,GUJARAT,Makwana Savshibhai Kanjibhai,INC,2000,2,GEN,7,M,244368
Ambala,HARYANA,Rattan Lal Kataria,BJP,2000,1,SC,7,M,357460
Bhiwani,HARYANA,Ajay Singh Chautala,INLD,2000,8,GEN,7,M,381255
Faridabad,HARYANA,Ram Chander Bainda,BJP,2000,6,GEN,7,M,367842
Hissar,HARYANA,Surender Singh Barwala,INLD,2000,9,GEN,7,M,396540
Karnal,HARYANA,I.D. Swami,BJP,2000,3,GEN,7,M,433733
Kurukshetra,HARYANA,Prof Kailasho Devi,INLD,2000,2,GEN,7,F,438701
Mahendragarh,HARYANA,Dr. Sudha Yadav,BJP,2000,7,GEN,7,F,420706
Rohtak,HARYANA,Inder Singh,INLD,2000,5,GEN,7,M,366926
Sirsa,HARYANA,Dr. Sushil Kumar Indora,INLD,2000,10,SC,7,M,419278
Sonepat,HARYANA,Kishan Singh Sangwan,BJP,2000,4,GEN,7,M,457056
Hamirpur,HIMACHAL PRADESH,Suresh Chandel,BJP,2000,4,GEN,7,M,336172
Kangra,HIMACHAL PRADESH,Shanta Kumar,BJP,2000,3,GEN,7,M,325066
Mandi,HIMACHAL PRADESH,Maheshwar Singh,BJP,2000,2,GEN,7,M,325929
Simla,HIMACHAL PRADESH,Lt. Col. Dhani Ram Shandil,HVC,2000,1,SC,7,M,264002
Bagalkot,KARNATAKA,R.S. Patil,INC,2000,27,GEN,7,M,378488
Bangalore North,KARNATAKA,C.K Jaffar Sharief,INC,2000,12,GEN,7,M,525523
Bangalore South,KARNATAKA,Ananth Kumar,BJP,2000,13,GEN,7,M,410161
Belgaum,KARNATAKA,Amarsinh Vasantarao Patil,INC,2000,25,GEN,7,M,383444
Bellary,KARNATAKA,Kolur Basavanagoud,INC,2000,5,GEN,7,M,259851
Bidar,KARNATAKA,Ramchandra Veerappa,BJP,2000,1,SC,7,M,350221
Bijapur,KARNATAKA,Basangouda Ramangouda Patil(Yatnal),BJP,2000,28,GEN,7,M,348816
Chamarajanagar,KARNATAKA,V.Sreenivasaprasad,JD(U),2000,15,SC,7,M,311547
Chikballapur,KARNATAKA,R.L. Jalappa,INC,2000,9,GEN,7,M,422587
Chikkodi,KARNATAKA,Jigajinagi Rameshchandappa,JD(U),2000,26,SC,7,M,392450
Chikmagalur,KARNATAKA,D.C.Srikantappa,BJP,2000,20,GEN,7,M,324470
Chitradurga,KARNATAKA,Shashi Kumar,JD(U),2000,7,GEN,7,M,370793
Davangere,KARNATAKA,G.Mallikarjunappa,BJP,2000,6,GEN,7,M,398969
Dharwad North,KARNATAKA,Vijay Sankeshwar,BJP,2000,24,GEN,7,M,345197
Dharwad South,KARNATAKA,Prof. I.G. Sanadi,INC,2000,23,GEN,7,M,355523
Gulbarga,KARNATAKA,Iqbal Ahemed Saradgi,INC,2000,2,GEN,7,M,352359
Hassan,KARNATAKA,G.Putta Swamy Gowda,INC,2000,19,GEN,7,M,398344
Kanakapura,KARNATAKA,M.V.Chandrashekara Murthy,INC,2000,11,GEN,7,M,532910
Kanara,KARNATAKA,Alva Margaret,INC,2000,22,GEN,7,F,356246
Kolar,KARNATAKA,K.H. Muniyappa,INC,2000,10,SC,7,M,321964
Koppal,KARNATAKA,H.G.Ramulu,INC,2000,4,GEN,7,M,350599
Mandya,KARNATAKA,Ambareesh @ Amaranatha .M.H,INC,2000,14,GEN,7,M,418110
Mangalore,KARNATAKA,V.Dhananjaya Kumar,BJP,2000,17,GEN,7,M,353536
Mysore,KARNATAKA,Srikantadatta Narasimharaja Wadiyar,INC,2000,16,GEN,7,M,338051
Raichur,KARNATAKA,A. Venkatesh Naik,INC,2000,3,GEN,7,M,359946
Shimoga,KARNATAKA,S.Bangarappa,INC,2000,21,GEN,7,M,427870
Tumkur,KARNATAKA,G.S.Basavaraj,INC,2000,8,GEN,7,M,318922
Udupi,KARNATAKA,Vinay Kumar Sorake,INC,2000,18,GEN,7,M,352326
Adoor,KERALA,Kodikunnil Suresh,INC,2000,17,SC,7,M,337003
Alleppey,KERALA,V.M. Sudheeran,INC,2000,15,GEN,7,M,392700
Badagara,KERALA,A.K. Premajam,CPM,2000,3,GEN,7,F,404355
Calicut,KERALA,K. Muraleedharan,INC,2000,4,GEN,7,M,383425
Cannanore,KERALA,A.P. Abdullakkutty,CPM,2000,2,GEN,7,M,428390
Chirayinkil,KERALA,Varkala Radhakrishnan,CPM,2000,19,GEN,7,M,309304
Ernakulam,KERALA,Adv. George Eden,INC,2000,11,GEN,7,M,394058
Idukki,KERALA,K. Francis George,KEC,2000,14,GEN,7,M,365313
Kasaragod,KERALA,T. Govindan,CPM,2000,1,GEN,7,M,423564
Kottayam,KERALA,Suresh Kurup,CPM,2000,13,GEN,7,M,344296
Manjeri,KERALA,E. Ahamed,MUL,2000,5,GEN,7,M,437563
Mavelikara,KERALA,Ramesh Chennithala,INC,2000,16,GEN,7,M,310455
Mukundapuram,KERALA,K. Karunakaran,INC,2000,10,GEN,7,M,397156
Muvattupuzha,KERALA,Adv. P.C. Thomas,KEC(M),2000,12,GEN,7,M,357402
Ottapalam,KERALA,S. Ajayakumar,CPM,2000,8,SC,7,M,359758
Palghat,KERALA,N.N.Krishnadas,CPM,2000,7,GEN,7,M,372536
Ponnani,KERALA,G.M. Banatwalla,MUL,2000,6,GEN,7,M,372572
Quilon,KERALA,P. Rajendran,CPM,2000,18,GEN,7,M,351869
Trichur,KERALA,A.C. Jose,INC,2000,9,GEN,7,M,343793
Trivandrum,KERALA,Advocate V.S. Sivakumar,INC,2000,20,GEN,7,M,288390
Balaghat,MADHYA PRADESH,Prahladsingh Patel,BJP,2000,23,GEN,7,M,251308
Bastar,MADHYA PRADESH,Baliram Kashyap,BJP,2000,20,ST,7,M,155421
Betul,MADHYA PRADESH,"Vijay Kumar Khandelwal "" Munni Bhaiya""",BJP,2000,28,GEN,7,M,272512
Bhind,MADHYA PRADESH,Dr. Ramlakhan Singh,BJP,2000,2,GEN,7,M,270766
Bhopal,MADHYA PRADESH,Uma Bharti,BJP,2000,30,GEN,7,F,537905
Bilaspur,MADHYA PRADESH,Punnulal Mohale,BJP,2000,15,SC,7,M,274860
Chhindwara,MADHYA PRADESH,Kamal Nath,INC,2000,27,GEN,7,M,399904
Damoh,MADHYA PRADESH,Dr. Ramkrishna Kusmaria,BJP,2000,7,GEN,7,M,246909
Dhar,MADHYA PRADESH,Gajendra Singh Rajukhedi,INC,2000,36,ST,7,M,355482
Durg,MADHYA PRADESH,Tara Chand Sahu,BJP,2000,21,GEN,7,M,389777
Guna,MADHYA PRADESH,Madhavrao Scindia,INC,2000,4,GEN,7,M,443965
Gwalior,MADHYA PRADESH,Jaibhan Singh Pavaiya,BJP,2000,3,GEN,7,M,254486
Hoshangabad,MADHYA PRADESH,Sundar Lal Patwa,BJP,2000,29,GEN,7,M,353760
Indore,MADHYA PRADESH,Sumitra Mahajan,BJP,2000,37,GEN,7,F,474167
Jabalpur,MADHYA PRADESH,Jaishree Banerjee ( Bhabhi Ji),BJP,2000,25,GEN,7,F,300648
Janjgir,MADHYA PRADESH,Dr. Charandas Mahant,INC,2000,14,GEN,7,M,278931
Jhabua,MADHYA PRADESH,Kantilal Bhuriya,INC,2000,39,ST,7,M,371842
Kanker,MADHYA PRADESH,Sohan Potai,BJP,2000,19,ST,7,M,318040
Khajuraho,MADHYA PRADESH,Satyavrat Chaturvedi ( Vinod Bhaiya ),INC,2000,6,GEN,7,M,335861
Khandwa,MADHYA PRADESH,Nandkumarsingh Chouhan ( Nandu Bhaiya ),BJP,2000,34,GEN,7,M,364161
Khargone,MADHYA PRADESH,Tarachand Patel,INC,2000,35,GEN,7,M,354133
Mahasamund,MADHYA PRADESH,Shyama Charan Shukla,INC,2000,18,GEN,7,M,340635
Mandla,MADHYA PRADESH,Faggan Singh Kulaste,BJP,2000,24,ST,7,M,232042
Mandsaur,MADHYA PRADESH,Dr. Lakshaminarayan Pandey,BJP,2000,40,GEN,7,M,395928
Morena,MADHYA PRADESH,Ashok Chhaviram  Argal,BJP,2000,1,SC,7,M,210790
Raigarh,MADHYA PRADESH,Vishnudeo Sai,BJP,2000,13,ST,7,M,276244
Raipur,MADHYA PRADESH,Ramesh Bais,BJP,2000,17,GEN,7,M,354736
Rajgarh,MADHYA PRADESH,Laxman Singh,INC,2000,32,GEN,7,M,354234
Rajnandgaon,MADHYA PRADESH,Dr. Raman,BJP,2000,22,GEN,7,M,304611
Rewa,MADHYA PRADESH,Sunder Lal Tiwari,INC,2000,9,GEN,7,M,275115
Sagar,MADHYA PRADESH,Virendra Kumar,BJP,2000,5,SC,7,M,293357
Sarangarh,MADHYA PRADESH,P. R. Khute,BJP,2000,16,SC,7,M,281769
Satna,MADHYA PRADESH,Ramanand Singh,BJP,2000,8,GEN,7,M,217932
Seoni,MADHYA PRADESH,Ram Naresh Tripathi,BJP,2000,26,GEN,7,M,282891
Shahdol,MADHYA PRADESH,Dalpat Singh,BJP,2000,11,ST,7,M,262229
Shajapur,MADHYA PRADESH,Thavarchand Gehlot,BJP,2000,33,SC,7,M,387607
Sidhi,MADHYA PRADESH,Chandra Pratap Singh ( Baba Sahab),BJP,2000,10,ST,7,M,264981
Surguja,MADHYA PRADESH,Khel Sai Singh,INC,2000,12,ST,7,M,297778
Ujjain,MADHYA PRADESH,Dr. Satyanarayan Jatiya,BJP,2000,38,SC,7,M,360103
Vidisha,MADHYA PRADESH,Shivraj Singh,BJP,2000,31,GEN,7,M,360421
Ahmednagar,MAHARASHTRA,Dilipkumar Mansukhlal Gandhi,BJP,2000,39,GEN,7,M,278508
Akola,MAHARASHTRA,Ambedkar Prakash Yashwant,BBM,2000,19,GEN,7,M,272243
Amravati,MAHARASHTRA,Gudhe Anant Mahadeoappa,SHS,2000,21,GEN,7,M,319916
Aurangabad,MAHARASHTRA,Chandrakant Khaire,SHS,2000,33,GEN,7,M,383144
Baramati,MAHARASHTRA,Pawar Sharadchandra Govindrao,NCP,2000,43,GEN,7,M,510928
Beed,MAHARASHTRA,Jaysingrao Gaikwad Patil,BJP,2000,34,GEN,7,M,332946
Bhandara,MAHARASHTRA,Chunnilalbhau Thakur,BJP,2000,24,GEN,7,M,291355
Buldhana,MAHARASHTRA,Adsul Anandrao Vithoba,SHS,2000,18,SC,7,M,294922
Chandrapur,MAHARASHTRA,Puglia Nareshkumar Chunnalal,INC,2000,26,GEN,7,M,328522
Chimur,MAHARASHTRA,Diwathe Namdeo Harbaji,BJP,2000,25,GEN,7,M,300601
Dahanu,MAHARASHTRA,Adv Chintaman Wanaga,BJP,2000,11,ST,7,M,240866
Dhule,MAHARASHTRA,Ramdas Rupla Gavit,BJP,2000,14,ST,7,M,211904
Erandol,MAHARASHTRA,Annasaheb M K Patil,BJP,2000,16,GEN,7,M,297867
Hingoli,MAHARASHTRA,Mane Shivaji Gyanbarao,SHS,2000,29,GEN,7,M,297284
Ichalkaranji,MAHARASHTRA,Mane Nivedita Sambhajirao,NCP,2000,47,GEN,7,F,337657
Jalgaon,MAHARASHTRA,Y G Mahajan Sir,BJP,2000,17,GEN,7,M,334020
Jalna,MAHARASHTRA,Danve Raosaheb Dadarao Patil,BJP,2000,32,GEN,7,M,332620
Karad,MAHARASHTRA,Shriniwas Dadasaheb Patil (Marulkar),NCP,2000,45,GEN,7,M,350504
Khed,MAHARASHTRA,Ashok Namdeorao Mohol,NCP,2000,41,GEN,7,M,284476
Kolaba,MAHARASHTRA,Ramsheth Thakur,PWPI,2000,3,GEN,7,M,274361
Kolhapur,MAHARASHTRA,Mandlik Sadashivrao Dadoba,NCP,2000,48,GEN,7,M,346459
Kopargaon,MAHARASHTRA,E V Alias Balasaheb Vikhe Patil,SHS,2000,40,GEN,7,M,253498
Latur,MAHARASHTRA,Patil Shivraj Vishwanath,INC,2000,35,GEN,7,M,314213
Malegaon,MAHARASHTRA,Mahale Haribahu Shankar,JD(S),2000,13,ST,7,M,191643
Mumbai North,MAHARASHTRA,Ram Naik,BJP,2000,9,GEN,7,M,517941
Mumbai North Central,MAHARASHTRA,Manohar Gajanan Joshi,SHS,2000,6,GEN,7,M,294935
Mumbai North East,MAHARASHTRA,Kirit Somaiya,BJP,2000,7,GEN,7,M,400436
Mumbai North West,MAHARASHTRA,Sunil Dutt,INC,2000,8,GEN,7,M,366669
Mumbai South,MAHARASHTRA,Jayawanti Mehta,BJP,2000,4,GEN,7,F,144945
Mumbai South Central,MAHARASHTRA,Mohan Vishnu Rawale,SHS,2000,5,GEN,7,M,176323
Nagpur,MAHARASHTRA,Vilas Muttemwar,INC,2000,23,GEN,7,M,424450
Nanded,MAHARASHTRA,Khatgaonkar Bhaskarrao Bapurao,INC,2000,30,GEN,7,M,327293
Nandurbar,MAHARASHTRA,Gavit Manikrao Hodlya,INC,2000,15,ST,7,M,318338
Nashik,MAHARASHTRA,Dhikale Uttamrao Nathuji,SHS,2000,12,GEN,7,M,303084
Osmanabad,MAHARASHTRA,Kamble Shivaji Vithalrao,SHS,2000,36,SC,7,M,252135
Pandharpur,MAHARASHTRA,Athawale Ramdas Bandu,IND,2000,38,SC,7,M,413115
Parbhani,MAHARASHTRA,Jadhav Suresh Ramrao,SHS,2000,31,GEN,7,M,254019
Pune,MAHARASHTRA,Pradeep Rawat,BJP,2000,42,GEN,7,M,304955
Rajapur,MAHARASHTRA,Suresh Prabhakar Prabhu,SHS,2000,1,GEN,7,M,221523
Ramtek,MAHARASHTRA,Subodh Mohite,SHS,2000,22,GEN,7,M,242454
Ratnagiri,MAHARASHTRA,Anant Gangaram Geete,SHS,2000,2,GEN,7,M,293834
Sangli,MAHARASHTRA,Prakash (Bapu) Vasantrao Patil,INC,2000,46,GEN,7,M,381162
Satara,MAHARASHTRA,Laxmanrao Pandurang Jadhav Patil,NCP,2000,44,GEN,7,M,313325
Sholapur,MAHARASHTRA,Shinde Sushilkumar Sambhajirao,INC,2000,37,GEN,7,M,286578
Thane,MAHARASHTRA,Prakash Paranjpe,SHS,2000,10,GEN,7,M,391446
Wardha,MAHARASHTRA,Prabha Rao,INC,2000,27,GEN,7,F,249564
Washim,MAHARASHTRA,Bhawana Pundlikrao Gawali,SHS,2000,20,GEN,7,F,244820
Yavatmal,MAHARASHTRA,Uttamrao Deorao Patil,INC,2000,28,GEN,7,M,258535
Aska,ORISSA,Kumudini Patnaik,BJD,2000,10,GEN,7,F,288240
Balasore,ORISSA,Mahameghabahan Aira Kharabela Swain,BJP,2000,2,GEN,7,M,428070
Berhampur,ORISSA,Anadicharan Sahu,BJP,2000,11,GEN,7,M,310704
Bhadrak,ORISSA,Arjun Charan Sethi,BJD,2000,3,SC,7,M,397450
Bhubaneswar,ORISSA,Prasanna Kumar Patasani,BJD,2000,9,GEN,7,M,414429
Bolangir,ORISSA,Sangeeta Kumari Singh Deo,BJP,2000,16,GEN,7,F,404988
Cuttack,ORISSA,Bhartruhari Mahtab,BJD,2000,6,GEN,7,M,407603
Deogarh,ORISSA,Debendra Pradhan,BJP,2000,18,GEN,7,M,376412
Dhenkanal,ORISSA,Kamakhya Prasad Singh Deo,INC,2000,19,GEN,7,M,248824
Jagatsinghpur,ORISSA,Trilochan Kanungo,BJD,2000,7,GEN,7,M,439888
Jajpur,ORISSA,Jagannath Mallik,BJD,2000,4,SC,7,M,351442
Kalahandi,ORISSA,Bikram Keshari Deo,BJP,2000,14,GEN,7,M,371911
Kendrapara,ORISSA,Prabhat Kumar Samantray,BJD,2000,5,GEN,7,M,359314
Keonjhar,ORISSA,Ananta Nayak,BJP,2000,21,ST,7,M,416956
Koraput,ORISSA,Hema Gamang,INC,2000,12,ST,7,F,277555
Mayurbhanj,ORISSA,Salkhan Murmu,BJP,2000,1,ST,7,M,300902
Nowrangpur,ORISSA,Parsuram Majhi,BJP,2000,13,ST,7,M,331863
Phulbani,ORISSA,Padmanava Behera,BJD,2000,15,SC,7,M,357024
Puri,ORISSA,Braja Kishore Tripathy,BJD,2000,8,GEN,7,M,383060
Sambalpur,ORISSA,Prasanna Acharya,BJD,2000,17,GEN,7,M,398597
Sundargarh,ORISSA,Jual Oram,BJP,2000,20,ST,7,M,326395
Amritsar,PUNJAB,Raghunandan Lal  Bhatia,INC,2000,2,GEN,7,M,296533
Bhatinda,PUNJAB,Bhan Singh Bhaura,CPI,2000,11,SC,7,M,327484
Faridkot,PUNJAB,Jagmeet Singh  Brar,INC,2000,12,GEN,7,M,418454
Ferozepur,PUNJAB,Zora Singh,SAD,2000,13,GEN,7,M,300236
Gurdaspur,PUNJAB,Vinod Khanna,BJP,2000,1,GEN,7,M,315267
Hoshiarpur,PUNJAB,Charanjit Singh Channi,INC,2000,6,GEN,7,M,256211
Jullundur,PUNJAB,Balbir Singh,INC,2000,4,GEN,7,M,267209
Ludhiana,PUNJAB,Gurcharan Singh Galib,INC,2000,9,GEN,7,M,346928
Patiala,PUNJAB,Preneet Kaur,INC,2000,8,GEN,7,F,360125
Phillaur,PUNJAB,Santosh  Chowdhary,INC,2000,5,SC,7,F,263540
Ropar,PUNJAB,Shamsher Singh,INC,2000,7,SC,7,M,326651
Sangrur,PUNJAB,Simranjit Singh Mann,SAD(M),2000,10,GEN,7,M,298846
Tarn Taran,PUNJAB,Tarlochan Singh  Tur,SAD,2000,3,GEN,7,M,305899
Ajmer,RAJASTHAN,Rasa Singh Rawat,BJP,2000,12,GEN,7,M,332130
Alwar,RAJASTHAN,Dr. Jaswant Singh Yadav,BJP,2000,8,GEN,7,M,325556
Banswara,RAJASTHAN,Tara Chand Bhagora,INC,2000,16,ST,7,M,379775
Barmer,RAJASTHAN,Col. Sonaram Choudhary,INC,2000,23,GEN,7,M,424150
Bayana,RAJASTHAN,Bahadur Singh,BJP,2000,10,SC,7,M,234881
Bharatpur,RAJASTHAN,Vishvendra Singh,BJP,2000,9,GEN,7,M,277460
Bhilwara,RAJASTHAN,Vijayendra Pal Singh,BJP,2000,20,GEN,7,M,287858
Bikaner,RAJASTHAN,Rameshwar Lal Dudi,INC,2000,2,GEN,7,M,493638
Chittorgarh,RAJASTHAN,Shrichand Kriplani,BJP,2000,19,GEN,7,M,411275
Churu,RAJASTHAN,Ram Singh Kaswan,BJP,2000,3,GEN,7,M,351485
Dausa,RAJASTHAN,Rama Pilot,INC,2000,7,GEN,7,M,349439
Ganganagar,RAJASTHAN,Nihal Chand,BJP,2000,1,SC,7,M,358104
Jaipur,RAJASTHAN,Girdhari Lal Bhargava,BJP,2000,6,GEN,7,M,456720
