ST_CODE,PC_NAME,ST_NAME,CAND_NAME,PARTYABBRE,YEAR,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
S13,DAHANU,MAHARASHTRA,NAM SHANKAR SAKHARAM,INC,1998,11,ST,3,M,245567
S13,NASHIK,MAHARASHTRA,PATIL MADHAV BALWANT,INC,1998,12,GEN,3,M,381300
S13,MALEGAON,MAHARASHTRA,KAHANDOLE ZAMARU MANGALU,INC,1998,13,ST,3,M,215846
S13,DHULE,MAHARASHTRA,D.S.AHIRE,INC,1998,14,ST,3,M,274034
S13,NANDURBAR,MAHARASHTRA,GAVIT MANIKRAO HODLYA,INC,1998,15,ST,3,M,304134
S13,ERANDOL,MAHARASHTRA,ANNASAHEB M.K.PATIL,BJP,1998,16,GEN,3,M,286178
S13,JALGAON,MAHARASHTRA,DR.ULHAS  VASUDEO PATIL,INC,1998,17,GEN,3,M,339980
S13,BULDHANA,MAHARASHTRA,WASNIK MUKUL BALKRUSHNA,INC,1998,18,SC,3,M,348094
S13,AKOLA,MAHARASHTRA,AMBEDKAR PRAKASH YASHAWANT,RPI,1998,19,GEN,3,M,366427
S13,WASHIM,MAHARASHTRA,NAIK SUDHAKARRAO RAJUSING,INC,1998,20,GEN,3,M,359742
S13,AMRAVATI,MAHARASHTRA,RAMKRUSHNA SURYABHAN GAWAI,RPI,1998,21,GEN,3,M,304746
S13,RAMTEK,MAHARASHTRA,RANI CHITRALEKHA T. BHOSALE,INC,1998,22,GEN,3,F,325885
S13,NAGPUR,MAHARASHTRA,VILAS MUTTEMWAR,INC,1998,23,GEN,3,M,486928
S13,BHANDARA,MAHARASHTRA,PATEL PRAFUL  MANOHARBHAI,INC,1998,24,GEN,3,M,324542
S13,CHIMUR,MAHARASHTRA,PROF. JOGENDRA KAWADE,RPI,1998,25,GEN,3,M,350003
S13,CHANDRAPUR,MAHARASHTRA,PUGLIA NARESHKUMAR CHUNNALAL,INC,1998,26,GEN,3,M,450007
S13,WARDHA,MAHARASHTRA,DATTA MEGHE,INC,1998,27,GEN,3,M,328905
S13,YAVATMAL,MAHARASHTRA,UTTAMRAO DEORAO PATIL,INC,1998,28,GEN,3,M,291415
